0,,,,,,,
1,,,,,,,
100,The Tomb of Perneb,456.24075,444,487,472,464.41638,467.93866
101,Predynastic and Early Dynastic Period,456.24075,472.80078,487.6808,492.2408,472.7036,482.87152
102,Tomb Chapel of Raemkai,487.6808,462.00076,502.32083,474.24078,495.79724,467.94672
103,Old Kingdom,487.6808,474.48077,588.96094,492.2408,538.59216,482.81464
104,Cultural Revival (ca. 2150–2050 B.C.),589.201,474.48077,613.201,492.0008,596.12634,482.81464
105,Objects from the Tomb of Meketre,601.1,492.6,628,519,622.1283,505.12152
106,Excavating versus Collecting,589,508,601,519,596.16736,511.8637
107,Early Middle Kingdom,613.201,474.24078,631.681,492.0008,623.2748,482.81464
108,"Lisht North, Pyramid and Temple of King Amenemhat I",631.921,474.24078,648.96106,492.0008,641.0443,482.81464
109,Middle Kingdom Objects from Lisht and Thebes,631.921,467.28076,685.2011,474.00076,659.35974,470.3537
110,"Lisht South, Pyramid Complex of King Senwosret I",629.041,492.2408,653.76105,518.88086,641.8202,505.12152
111,The Height of Middle Kingdom Art,654.0011,492.2408,691.68115,518.88086,673.6294,505.0971
112,Middle Kingdom Burial Equipment from Meir,649.20105,474.24078,665.7611,492.0008,658.11707,482.81464
113,Daily Life,665.7611,474.24078,682.3211,492.0008,674.90173,482.81464
114,Early New Kingdom,682.5611,474.24078,694.32117,492.0008,688.9667,482.81464
115,Sculptures of The Female Pharaoh Hatshepsut,691.92114,492.2408,731.0412,518.88086,712.2499,505.0656
116,Senenmut's Burial Objects and Hatshepsut's Foundation Deposits,704.16113,467.52075,731.0412,492.0008,718.241,482.81464
117,Early Dynasty 18,694.56116,467.52075,704.16113,492.0008,700.06384,482.81464
118,Three Foreign Wives of King Thutmose III,704.16113,452.64075,731.0412,467.28076,718.2811,460.72504
119,Mid-Eighteenth Dynasty (ca. 1427–1353 B.C.),704.16113,429.1,731.0412,452.40076,718.20886,442.88104
120,Objects from the Palace of Amenhotep III at Malqata,704.16113,421.9207,723.3612,429,714.21716,425.216
121,Art of the Amarna Period,685.4411,417.60068,703.92114,457.44077,695.4321,442.88104
122,Study Gallery with Amarna Period and Late New Kingdom Objects,685.4411,457.44077,704.16113,467.28076,695.4115,461.94843
123,Large Sculpture from Dynasty 19 to 26 (ca. 1300–600 B.C.),631.681,426.0007,685.2011,436.3207,675.2606,430.7658
124,Ramesside Period,664.0811,436.56073,685.2011,450.00073,675.1625,442.88104
125,Third Intermediate Period and Kushite Period,,,,,,
126,Painted Coffins of the First Millennium,631.921,450.48074,685.2011,467.28076,659.1039,461.94843
127,Dynasties 26 through 29 (664–380 B.C.),631.681,436.56073,653.52106,450.24075,643.52576,442.90472
128,Art of the Early Fourth Century B.C.,613.201,426.0007,631.681,443.28073,623.0873,437.8283
129,Chapel of Ramesses I at Abydos,619.921,398.40067,645.12103,417.60068,626.26306,401.5412
130,Study Gallery with Objects from the Late New Kingdom to the First Century A.D.,619.921,381.12064,645.12103,398.40067,632.9413,389.633
131,The Temple of Dendur in The Sackler Wing,645.5,282,730.8,417.312,689.61426,333.12714
